binance_symbol, bittrex_symbol, binance_price_val, bitrex_price_val, val_time,price_diff, percentage_diff
ADXBTC,BTC-ADX,0.00017753,0.00017665,1517024937062,8.79999999999978e-07,0.4956908691488639
ADXETH,ETH-ADX,0.0018643,0.00187175,1517024958518,-7.449999999999991e-06,-0.39961379606286496
ADABTC,BTC-ADA,5.505e-05,5.474e-05,1517024955119,3.100000000000021e-07,0.5631244323342454
ADAETH,ETH-ADA,0.00057806,0.00058,1517024955105,-1.9399999999999713e-06,-0.33560530048783366
XLMBTC,BTC-XLM,5.627e-05,5.624e-05,1517024966765,3.0000000000004795e-08,0.05331437711036927
XLMETH,ETH-XLM,0.000592,0.00059236,1517024974236,-3.6000000000003043e-07,-0.060810810810815956
LTCETH,ETH-LTC,0.16635,0.16827872,1517024969416,-0.0019287199999999949,-1.1594349263600812
LTCUSDT,USDT-LTC,174.24,176.46874999,1517024969442,-2.228749989999983,-1.279126486455454
WAVESBTC,BTC-WAVES,0.0008377,0.00084264,1517024951344,-4.939999999999936e-06,-0.5897099200190923
WAVESETH,ETH-WAVES,0.008803,0.008889,1517024953079,-8.599999999999927e-05,-0.9769396796546549
WINGSBTC,BTC-WINGS,9.215e-05,9.257e-05,1517024975741,-4.1999999999999937e-07,-0.4557786218122619
WINGSETH,ETH-WINGS,0.0009716,0.00096603,1517024916611,5.569999999999989e-06,0.5732811856731154
NAVBTC,BTC-NAV,0.0002482,0.00024878,1517024977559,-5.799999999999707e-07,-0.2336825141015192
LUNBTC,BTC-LUN,0.00292,0.00293,1517024913424,-1.0000000000000026e-05,-0.34246575342465846
LUNETH,ETH-LUN,0.030455,0.03099999,1517024922226,-0.0005449900000000021,-1.7894926941389004
RLCBTC,BTC-RLC,0.0002359,0.00023551,1517024872045,3.899999999999878e-07,0.1653242899533649
RLCETH,ETH-RLC,0.002471,0.00257575,1517024990149,-0.00010474999999999981,-4.239174423310392
PIVXBTC,BTC-PIVX,0.0008501,0.00085258,1517024965742,-2.480000000000017e-06,-0.29173038466063017
